robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstacles,crowdnav,dwa,rlca,teb
2.0,0.267,0.17,0.3,0.53,237.17,26.0,90.0,50.0,1,45,4.0,0,0,0.0,0,144.0,0.0235,2250.0,2.3219,6,0.3222,0.8,0.0035,0.0,0.6,0.32,3,0,0,1,0
2.0,0.267,0.23,0.33,0.43,259.21,22.0,50.0,70.0,0,0,0.0,1,10,4.0,0,154.2857,0.0198,1750.0,2.3219,7,0.2591,0.3,0.0189,0.0,0.6,0.55,2,1,0,0,0
2.0,0.267,0.57,0.43,0.0,104.33,11.0,90.0,90.0,0,0,0.0,1,0,4.0,0,180.0,0.0454,4050.0,2.3219,2,0.044,0.0,0.0,1.0,0.44,0.47,12,0,0,1,0
2.0,0.267,0.17,0.67,0.17,645.32,24.0,90.0,90.0,0,0,0.0,1,10,2.0,0,280.0,0.0455,4050.0,2.3219,19,0.0738,0.6,0.0127,0.0,0.67,0.56,12,0,0,1,0
0.22,0.113,0.17,0.83,0.0,341.72,15.0,90.0,50.0,0,0,0.0,1,30,4.0,0,308.5714,0.0201,2250.0,2.3219,11,0.4678,0.5,0.0144,0.0,0.35,0.66,3,0,0,1,0
1.1,0.625,0.45,0.55,0.0,175.98,9.0,50.0,50.0,0,0,0.0,1,10,6.0,0,288.0,0.0104,1250.0,2.3219,4,0.5444,0.5,0.1828,0.0007,0.35,0.41,4,1,0,0,0
1.1,0.625,0.47,0.53,0.0,54.99,4.0,50.0,50.0,1,70,3.0,0,0,0.0,0,360.0,0.014,1250.0,2.3219,1,0.326,0.0,0.0,1.0,0.7,0.58,6,0,0,1,0
2.0,0.267,0.4,0.6,0.0,118.24,14.0,50.0,50.0,0,0,0.0,1,0,4.0,0,180.0,0.0163,1250.0,2.3219,2,0.0784,1.0,0.0004,0.0,0.33,0.54,6,1,0,0,0
1.1,0.625,0.73,0.27,0.0,73.64,8.0,90.0,50.0,1,70,5.0,0,0,0.0,0,216.0,0.0253,2250.0,2.3219,4,0.2264,0.5,0.0062,0.0,0.34,0.68,3,0,0,1,0
0.22,0.113,1.0,0.0,0.0,1.78,0.0,70.0,70.0,1,70,4.0,0,0,0.0,0,216.0,0.0251,2450.0,2.3219,7,0.3276,0.4,0.0079,0.0,0.0,0.0,0,1,0,0,0
