robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb,0
0.22,0.113,0.67,0.33,0,27.32,374147000000,50,70,1,70,5,0,0,0,0,180,0.0195,1750,2.3219,2,0.2586,1,0.0004,0,0.35,0.57,6,0,0,1,0,0.568175724
0.22,0.113,0.13,0.87,0,502.12,4070000000000,90,90,1,30,3,0,0,0,0,240,0.0258,4050,2.3219,5,0.6016,0.6,0.0074,0,0.6,0.57,4,0,0,1,0,0.034751696
0.22,0.113,0.4,0.6,0,68.84,822000000000,70,70,0,0,0,1,30,2,0,183.0508,0.0287,2450,2.3219,37,0.1973,0.5,0.0146,0,0.46,0.58,9,0,0,1,0,0.876849336
0.22,0.113,0.72,0.28,0,112.85,844000000000,70,70,1,70,4,0,0,0,0,72,0.0272,2450,2.3219,6,0.2714,0.5,0.0099,0,0.59,0.59,3,0,0,1,0,0.034693018
0.22,0.113,0.3,0.7,0,180.52,1430000000000,70,70,1,45,3,0,0,0,0,120,0.0205,2450,2.3219,5,0.5098,0.6,0.0096,0,0.73,0.56,6,0,0,1,0,0.864252569
0.22,0.113,0.62,0.38,0,109.43,1109910000000,50,50,1,70,4,0,0,0,0,90,0.0157,1250,2.3219,4,0.222,1,0.0059,0,0.23,0.39,4,0,0,1,0,0.597339986
1.1,0.625,0.33,0.63,0.03,246.3,3233610000000,70,50,0,0,0,1,30,4,0,150,0.0155,1750,2.3219,10,0.4889,0.6,0.061,0.0001,0.29,0.67,4,0,0,1,0,0.41496591
0.22,0.113,0.62,0.38,0,98.56,905000000000,70,70,1,45,5,0,0,0,0,240,0.0266,2450,2.3219,5,0.2588,0.8,0.0063,0,0.63,0.4,6,0,0,1,0,0.180535744
2,0.267,0.4,0.57,0.03,276.22,2830000000000,90,90,1,15,4,0,0,0,0,120,0.0239,4050,2.3219,4,0.6312,0.5,0.004,0,0.34,0.61,4,0,0,1,0,0.738522643
0.22,0.113,0.17,0.83,0,331.19,2930000000000,90,90,1,70,3,0,0,0,0,278.7097,0.0338,4050,2.3219,12,0.4565,0.5,0.0109,0,0.73,0.65,4,0,0,1,0,0.12989444
0.22,0.113,0.17,0.83,0,306.04,2080000000000,90,90,1,45,3,0,0,0,0,360,0.0276,4050,2.3219,6,0.5807,0.5,0.0217,0,0.63,0.64,12,0,0,1,0,0.41598931
0.22,0.113,0.47,0.53,0,204.09,1420000000000,90,90,1,70,4,0,0,0,0,252,0.036,4050,2.3219,14,0.3922,0.6,0.0166,0,0.56,0.47,8,0,0,1,0,0.892520896
0.22,0.113,0.43,0.57,0,184.44,1570000000000,90,90,1,70,5,0,0,0,0,274.2857,0.0398,4050,2.3219,10,0.2931,0.4,0.0112,0,0,0,0,0,0,1,0,0.827904248
0.22,0.113,0.13,0.87,0,261.69,2861850000000,70,70,1,15,3,0,0,0,0,240,0.0133,2450,2.3219,4,0.6982,1,0.0098,0,0.48,0.58,6,0,0,1,0,0.396115692
0.22,0.113,1,0,0,38.15,496000000000,70,70,0,0,0,1,0,2,0,180,0.0295,2450,2.3219,2,0.0563,0,0,1,0,0,0,0,0,1,0,0.532951357
0.22,0.113,0.13,0.87,0,502.12,4071050000000,90,90,1,30,3,0,0,0,0,240,0.0258,4050,2.3219,5,0.6016,0.6,0.0074,0,0.6,0.57,4,0,0,1,0,0.568037471
1.1,0.625,0.69,0.31,0,102.09,1160000000000,70,70,1,70,4,0,0,0,0,240,0.0251,2450,2.3219,7,0.3271,0.7,0.0096,0,0.57,0.32,3,0,0,1,0,0.995844124
0.22,0.113,0.67,0.33,0,42.53,457130000000,50,50,1,45,3,0,0,0,0,180,0.0145,1250,2.3219,2,0.3424,0,0,1,0.63,0.53,4,0,0,1,0,0.791968096
2,0.267,0.07,0.7,0.23,382.24,5664840000000,90,90,1,70,5,0,0,0,0,225,0.0399,4050,2.3219,12,0.282,0.4,0.0096,0,0.58,0.5,12,0,0,1,0,0.04336687
0.22,0.113,0.48,0.52,0,128.23,1510000000000,50,50,0,0,0,1,10,4,0,240,0.0137,1250,2.3219,4,0.3572,0.8,0.2914,0.0122,0.26,0.4,4,0,0,1,0,0.55982661
1.1,0.625,0.37,0.63,0,92.82,1210000000000,70,70,1,30,4,0,0,0,0,90,0.0229,2450,2.3219,4,0.409,0.5,0.0044,0,0.32,0.51,6,0,0,1,0,0.727144074
0.22,0.113,0.43,0.57,0,228.85,1930000000000,90,90,1,70,4,0,0,0,0,308.5714,0.037,4050,2.3219,5,0.359,0.6,0.0081,0,0.62,0.53,4,0,0,1,0,0.50434719
0.22,0.113,1,0,0,1.47,13100000011,50,50,0,0,0,1,40,4,0,240,0.0083,1250,2.3219,5,0.6696,0.6,0.0105,0,0,0,0,0,0,1,0,0.698080036
1.1,0.625,0.17,0.83,0,218.2,2360000000000,70,70,1,15,4,0,0,0,0,180,0.0178,2450,2.3219,2,0.5696,1,0.0001,0,0.5,0.6,6,0,0,1,0,0.571893151
0.22,0.113,0.83,0.17,0,50.64,454152000000,50,50,1,70,5,0,0,0,0,180,0.0151,1250,2.3219,2,0.2364,0,0,1,0.61,0.81,2,0,0,1,0,0.560822449
2,0.267,0.27,0.67,0.07,434.24,4170000000000,90,90,1,45,4,0,0,0,0,240,0.0347,4050,2.3219,9,0.4242,0.4,0.0091,0,0.38,0.59,8,0,0,1,0,0.980906259
1.1,0.625,0.43,0.57,0,151.76,1240000000000,90,90,1,45,5,0,0,0,0,266.6667,0.0375,4050,2.3219,12,0.3383,0.3,0.0118,0,0.62,0.51,12,0,0,1,0,0.248711678
1.1,0.625,0.7,0.3,0,34.85,487227000000,70,70,0,0,0,1,0,2,0,180,0.0295,2450,2.3219,2,0.0563,0,0,1,0.55,0.38,6,0,0,1,0,0.951011262
0.22,0.113,0.7,0.3,0,106.63,833107000000,90,90,1,70,5,0,0,0,0,333.3333,0.0401,4050,2.3219,7,0.2863,0.6,0.012,0,0,0,0,0,0,1,0,0.768246474
0.22,0.113,0.36,0.64,0,332.91,1720000000000,70,70,1,30,4,0,0,0,0,240,0.0204,2450,2.3219,5,0.4778,0.6,0.0154,0,0,0,0,0,0,1,0,0.653285073
0.22,0.113,0.37,0.63,0,110.26,1080000000000,50,50,0,0,0,1,20,2,0,137.1429,0.0157,1250,2.3219,13,0.2408,0.5,0.0122,0,0.27,0.74,4,0,0,1,0,0.342389847
1.1,0.625,0.43,0.57,0,76,1425800000000,70,70,1,15,5,0,0,0,0,180,0.0174,2450,2.3219,2,0.5753,0,0,1,0.58,0.54,6,0,0,1,0,0.040768163
0.22,0.113,0.33,0.67,0,203.21,2410000000000,90,90,1,70,5,0,0,0,0,300,0.0382,4050,2.3219,4,0.2996,0.8,0.0093,0,0.66,0.51,8,0,0,1,0,0.403140852
1.1,0.625,0.8,0.2,0,21.72,321507000000,50,70,0,0,0,1,20,4,0,144,0.0174,1750,2.3219,5,0.3894,0.4,0.0109,0,0.51,0.51,2,0,0,1,0,0.18011483
0.22,0.113,0.03,0.93,0.03,350.92,3540000000000,90,90,0,0,0,1,20,6,0,231.4286,0.036,4050,2.3219,11,0.3707,0.5,0.0109,0,0.51,0.57,12,0,0,1,0,0.259638714
0.22,0.113,0.63,0.37,0,50.75,522467000000,70,70,1,70,4,0,0,0,0,294.5455,0.0267,2450,2.3219,6,0.2676,0.5,0.0104,0,0.67,0.54,3,0,0,1,0,0.455058381
0.22,0.113,0.21,0.79,0,282.36,2902340000000,70,70,1,15,4,0,0,0,0,360,0.0151,2450,2.3219,1,0.6476,0,0,1,0,0,0,0,0,1,0,0.295715433
0.22,0.113,0.33,0.67,0,165.99,1324440000000,70,70,1,15,5,0,0,0,0,90,0.0202,2450,2.3219,4,0.4851,0.5,0.0037,0,0.6,0.54,9,0,0,1,0,0.802540541
0.22,0.113,0.86,0.14,0,82.68,702000000000,70,70,1,15,5,0,0,0,0,180,0.017,2450,2.3219,2,0.5641,0,0,1,0,0,0,0,0,1,0,0.864087489
0.22,0.113,0.3,0.7,0,278.64,2117950000000,90,90,1,45,3,0,0,0,0,276.9231,0.0274,4050,2.3219,7,0.5701,0.6,0.0144,0,0.61,0.52,8,0,0,1,0,0.324557614
2,0.267,1,0,0,24.37,171000000000,50,50,1,45,3,0,0,0,0,180,0.0134,1250,2.3219,6,0.3768,0.3,0.0059,0,0.78,0.53,4,0,0,1,0,0.298027713
0.22,0.113,0.97,0.03,0,41.53,303000000000,50,50,1,70,4,0,0,0,0,180,0.0151,1250,2.3219,2,0.2492,1,0.0005,0,0.46,0.37,4,0,0,1,0,0.153256111
2,0.267,0.2,0.77,0.03,451.13,4790000000000,90,90,1,45,4,0,0,0,0,254.1176,0.0325,4050,2.3219,10,0.4705,0.8,0.0109,0,0.46,0.37,8,0,0,1,0,0.337352702
