robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.6,0.4,0,125.05,1630000000000,90,90,1,70,5,0,0,0,0,144,0.0375,4050,2.3219,8,0.3285,0.5,0.01,0,0.47,0.57,12,0,1,0,0
0.22,0.113,0.8,0.17,0.03,176.47,2050000000000,90,90,1,30,5,0,0,0,0,294.5455,0.0334,4050,2.3219,5,0.4428,0.2,0.0121,0,0.32,0.46,4,0,1,0,0
0.22,0.113,0.53,0.47,0,75.78,2030000000000,50,50,0,0,0,1,30,4,0,360,0.0096,1250,2.3219,3,0.596,0.7,0.0129,0,0.46,0.57,6,0,1,0,0
0.22,0.113,0.83,0.17,0,53.58,1180000000000,70,70,0,0,0,1,0,6,0,180,0.0295,2450,2.3219,2,0.0563,0,0,1,0.53,0.55,6,0,1,0,0
0.22,0.113,0.34,0.66,0,49.91,626000000000,70,70,1,15,3,0,0,0,0,180,0.0113,2450,2.3219,2,0.7439,0,0,1,0.53,0.67,9,0,1,0,0
0.22,0.113,1,0,0,42.99,587000000000,50,50,0,0,0,1,10,2,0,102.8571,0.016,1250,2.3219,14,0.1692,0.6,0.0121,0,0,0,0,0,1,0,0
0.22,0.113,0.67,0.33,0,91.05,1030000000000,70,70,1,15,4,0,0,0,0,180,0.0185,2450,2.3219,2,0.5557,1,0.0001,0,0.45,0.45,6,0,1,0,0
1.1,0.625,1,0,0,60.34,466000000000,50,50,1,70,5,0,0,0,0,180,0.0155,1250,2.3219,2,0.2008,0,0,1,0,0,0,0,1,0,0
1.1,0.625,0.53,0.47,0,108.85,1330000000000,70,70,1,30,5,0,0,0,0,90,0.0206,2450,2.3219,4,0.4553,1,0.0049,0,0.69,0.58,9,0,1,0,0
0.22,0.113,0.93,0.07,0,102.52,1330000000000,70,70,1,45,4,0,0,0,0,270,0.0248,2450,2.3219,4,0.3651,0.2,0.0107,0,0,0,0,0,1,0,0
0.22,0.113,0.07,0.43,0.5,14.47,5800000000000,70,70,1,15,5,0,0,0,0,120,0.0173,2450,2.3219,3,0.5671,0.7,0.0049,0,0.46,0.5,3,0,1,0,0
0.22,0.113,0.6,0.4,0,96.19,953000000000,90,90,1,15,5,0,0,0,0,180,0.0226,4050,2.3219,2,0.6398,0,0,1,0.57,0.5,12,0,1,0,0
0.22,0.113,0.7,0.3,0,207.88,1930000000000,70,70,0,0,0,1,20,6,0,180,0.0188,2450,2.3219,3,0.5355,0.7,0.008,0,0.58,0.31,9,0,1,0,0
0.22,0.113,0.6,0.4,0,235.53,1330000000000,50,50,1,15,5,0,0,0,0,180,0.0122,1250,2.3219,2,0.4036,0,0,1,0.54,0.64,6,0,1,0,0
0.22,0.113,0.87,0.13,0,51.68,510000000000,50,50,1,70,3,0,0,0,0,180,0.0151,1250,2.3219,4,0.296,0.5,0.009,0,0.58,0.77,4,0,1,0,0
0.22,0.113,1,0,0,64.98,1080000000000,90,90,0,0,0,1,0,6,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0,0,0,0,1,0,0
0.22,0.113,0.63,0.37,0,115.37,1810000000000,90,90,1,70,4,0,0,0,0,333.3333,0.0387,4050,2.3219,8,0.3544,0.4,0.0115,0,0.57,0.59,12,0,1,0,0
0.22,0.113,0.27,0,0.73,13.1,5560000000000,70,70,1,30,4,0,0,0,0,120,0.022,2450,2.3219,3,0.4496,1,0.0036,0,0,0,0,0,1,0,0
0.22,0.113,0.5,0.5,0,111.26,1500000000000,90,90,1,70,3,0,0,0,0,234.7826,0.0314,4050,2.3219,12,0.4991,0.6,0.0109,0,0.58,0.63,12,0,1,0,0
0.22,0.113,0.17,0.5,0.33,22.96,5790000000000,90,90,0,0,0,1,20,4,0,284.5161,0.0418,4050,2.3219,22,0.2205,0.4,0.0145,0,0.5,0.51,12,0,1,0,0
0.22,0.113,1,0,0,55.44,852000000000,70,70,1,70,4,0,0,0,0,270,0.0257,2450,2.3219,4,0.3045,0.8,0.0071,0,0.49,0.42,3,0,1,0,0
0.22,0.113,0.1,0,0.9,13.33,5790000000000,70,70,0,0,0,1,20,4,0,234.7826,0.0255,2450,2.3219,13,0.3188,0.6,0.0144,0,0,0,0,0,1,0,0
0.22,0.113,0.83,0.17,0,103.1,828000000000,50,50,0,0,0,1,0,6,0,180,0.0163,1250,2.3219,2,0.0784,1,0.0004,0,0.59,0.53,6,0,1,0,0
0.22,0.113,0.63,0.37,0,44.72,675000000000,50,50,1,45,4,0,0,0,0,180,0.0147,1250,2.3219,2,0.3144,0,0,1,0.41,0.5,6,0,1,0,0
2,0.267,0.23,0,0.77,21.24,5790000000000,90,90,1,70,5,0,0,0,0,180,0.0392,4050,2.3219,9,0.2963,0.6,0.0086,0,0,0,0,0,1,0,0
0.22,0.113,0.83,0.17,0,53.74,1080000000000,70,70,1,70,3,0,0,0,0,308.5714,0.0249,2450,2.3219,8,0.3557,0.6,0.0113,0,0.55,0.54,3,0,1,0,0
0.22,0.113,0.72,0.28,0,72.43,1290000000000,90,90,1,45,3,0,0,0,0,240,0.0284,4050,2.3219,3,0.5589,0.7,0.0074,0,0.65,0.42,4,0,1,0,0
0.22,0.113,0.07,0.93,0,10.75,5570000000000,50,50,1,45,3,0,0,0,0,90,0.0141,1250,2.3219,5,0.3524,0.4,0.0074,0,0.5,0.58,6,0,1,0,0
0.22,0.113,0.97,0,0.03,80.69,1330000000000,90,90,1,45,5,0,0,0,0,240,0.0375,4050,2.3219,8,0.349,0.6,0.0088,0,0,0,0,0,1,0,0
0.22,0.113,0.27,0.73,0,196.9,2160000000000,90,90,1,15,3,0,0,0,0,180,0.0151,4050,2.3219,2,0.7972,0,0,1,0.64,0.52,4,0,1,0,0
0.22,0.113,0.77,0.23,0,120.75,1110000000000,70,70,1,70,5,0,0,0,0,240,0.0271,2450,2.3219,5,0.2331,0.4,0.0084,0,0.8,0.6,6,0,1,0,0
0.22,0.113,0.5,0.5,0,158,1880000000000,90,90,0,0,0,1,0,2,0,180,0.0454,4050,2.3219,2,0.044,0,0,1,0.59,0.71,12,0,1,0,0
