robot_max_speed,robot_radius,success_rate,collision_rate,timeout_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,crowdnav,dwa,rlca,teb
0.22,0.113,0.07,0.93,0,123.16,5440000000000,70,70,1,45,5,0,0,0,0,90,0.0278,2450,2.3219,7,0.2427,0.6,0.0065,0,0.52,0.56,9,1,0,0,0
0.22,0.113,0.55,0.41,0.03,80.2,2170000000000,70,70,1,70,4,0,0,0,0,90,0.0268,2450,2.3219,4,0.2871,1,0.0038,0,0.42,0.59,6,1,0,0,0
0.22,0.113,0.07,0.9,0.03,108.64,5260000000000,70,70,0,0,0,1,20,2,0,120,0.0293,2450,2.3219,28,0.1529,0.5,0.0135,0,0.51,0.49,9,1,0,0,0
0.22,0.113,0.43,0.57,0,65.64,1560000000000,70,70,1,45,3,0,0,0,0,270,0.0214,2450,2.3219,5,0.4878,0.4,0.0064,0,0.42,0.52,9,1,0,0,0
0.22,0.113,0.87,0.13,0,41.88,860000000000,50,50,1,30,4,0,0,0,0,90,0.0133,1250,2.3219,4,0.378,1,0.0079,0,0.69,0.8,2,1,0,0,0
0.22,0.113,0.8,0.2,0,35.74,761000000000,50,50,1,15,5,0,0,0,0,360,0.0116,1250,2.3219,2,0.454,1,0.0164,0,0.59,0.62,6,1,0,0,0
0.22,0.113,0.17,0.83,0,67.69,1590000000000,90,90,1,15,3,0,0,0,0,180,0.0178,4050,2.3219,2,0.7532,1,0.0001,0,0.56,0.42,12,1,0,0,0
0.22,0.113,0.1,0.83,0.07,42.28,5180000000000,90,90,1,30,3,0,0,0,0,240,0.0261,4050,2.3219,4,0.6141,1,0.0079,0,0.53,0.71,4,1,0,0,0
0.22,0.113,1,0,0,65.46,1170000000000,50,50,1,70,5,0,0,0,0,180,0.0166,1250,2.3219,2,0.1512,0,0,1,0,0,0,1,0,0,0
0.22,0.113,0.8,0.2,0,58.94,1010000000000,50,50,1,70,5,0,0,0,0,180,0.0153,1250,2.3219,2,0.2376,0,0,1,0.47,0.56,4,1,0,0,0
